total,state,zone,date,sales
total,State 1,Zone P,2023-08-21,4067
total,State 1,Zone R,2023-03-10,7121
total,State 1,Zone R,2021-09-09,5362
total,State 2,Zone P,2020-03-26,6112
total,State 3,Zone Q,2023-02-04,7561
total,State 2,Zone P,2021-12-18,12778
total,State 2,Zone P,2021-11-09,12423
total,State 2,Zone Q,2022-10-26,9743
total,State 2,Zone P,2022-10-24,6170
total,State 3,Zone P,2021-12-06,4034
total,State 2,Zone Q,2021-02-27,13962
total,State 3,Zone P,2023-12-24,5799
total,State 3,Zone P,2023-07-24,2512
total,State 3,Zone P,2021-10-16,6578
total,State 3,Zone Q,2023-03-30,3636
total,State 2,Zone R,2022-01-25,10784
total,State 3,Zone P,2023-05-02,5679
total,State 1,Zone Q,2023-09-01,4712
total,State 2,Zone R,2022-03-17,9226
total,State 3,Zone Q,2022-10-28,5041
total,State 2,Zone Q,2023-08-14,4541
total,State 1,Zone Q,2023-01-20,7515
total,State 1,Zone R,2020-03-16,4745
total,State 3,Zone P,2020-04-29,4126
total,State 2,Zone P,2020-11-25,10075
total,State 1,Zone Q,2022-12-18,9314
total,State 2,Zone R,2021-06-23,8244
total,State 3,Zone R,2020-04-22,4842
total,State 1,Zone Q,2022-06-20,3621
total,State 1,Zone Q,2020-11-12,7611
total,State 3,Zone P,2020-04-18,5387
total,State 1,Zone R,2021-07-10,5961
total,State 2,Zone P,2021-12-02,10169
total,State 3,Zone Q,2023-08-02,3565
total,State 3,Zone R,2021-04-22,3981
total,State 1,Zone Q,2021-12-17,9355
total,State 2,Zone P,2020-05-06,11256
total,State 2,Zone P,2022-06-05,7737
total,State 3,Zone R,2022-11-15,7729
total,State 3,Zone P,2020-01-23,6570
total,State 3,Zone Q,2020-11-04,5819
total,State 3,Zone Q,2020-05-21,3681
total,State 2,Zone R,2020-05-23,9046
total,State 3,Zone R,2020-12-18,5794
total,State 2,Zone R,2021-07-15,6429
total,State 3,Zone R,2023-07-07,4443
total,State 3,Zone R,2023-01-19,5356
total,State 2,Zone R,2021-10-19,10765
total,State 1,Zone P,2023-01-05,7471
total,State 1,Zone P,2023-07-18,4222
total,State 2,Zone Q,2021-01-14,10356
total,State 2,Zone Q,2022-10-30,11167
total,State 1,Zone Q,2021-08-18,4106
total,State 2,Zone P,2020-12-29,8149
total,State 2,Zone P,2022-11-09,11243
total,State 3,Zone Q,2021-03-31,4350
total,State 3,Zone Q,2022-12-24,7032
total,State 3,Zone P,2023-04-09,7375
total,State 1,Zone Q,2022-11-27,10683
total,State 2,Zone R,2021-06-16,4252
total,State 3,Zone Q,2021-01-29,7654
total,State 2,Zone R,2021-02-01,8526
total,State 3,Zone Q,2022-11-21,3920
total,State 3,Zone R,2023-10-27,6317
total,State 3,Zone Q,2020-11-10,7773
total,State 2,Zone Q,2021-09-08,10309
total,State 1,Zone R,2021-01-28,8174
total,State 3,Zone P,2023-05-15,4930
total,State 1,Zone P,2023-10-13,6165
total,State 3,Zone P,2022-09-12,4357
total,State 3,Zone R,2023-04-07,4044
total,State 1,Zone R,2023-11-17,7821
total,State 1,Zone Q,2021-07-07,5467
total,State 1,Zone R,2022-02-21,3928
total,State 2,Zone Q,2021-01-26,10832
total,State 1,Zone Q,2020-03-06,7811
total,State 2,Zone R,2021-03-07,7947
total,State 3,Zone R,2023-04-22,4295
total,State 3,Zone P,2021-06-01,4290
total,State 1,Zone Q,2021-02-01,3830
total,State 2,Zone P,2022-08-04,5015
total,State 1,Zone Q,2022-05-15,8380
total,State 1,Zone Q,2023-08-29,3606
total,State 2,Zone Q,2020-04-29,10914
total,State 1,Zone P,2021-03-11,4836
total,State 3,Zone R,2023-11-09,6068
total,State 2,Zone R,2020-02-25,11186
total,State 3,Zone Q,2022-12-11,9411
total,State 1,Zone P,2020-10-11,9102
total,State 3,Zone Q,2022-12-01,7357
total,State 1,Zone R,2023-03-15,6417
total,State 2,Zone R,2022-12-08,12838
total,State 2,Zone R,2020-12-04,10093
total,State 3,Zone Q,2022-03-31,6633
total,State 1,Zone P,2021-06-27,6517
total,State 1,Zone Q,2023-06-25,4434
total,State 2,Zone P,2022-01-12,15044
total,State 3,Zone R,2022-04-27,5650
total,State 3,Zone R,2023-11-04,6782
total,State 1,Zone R,2022-04-07,7484
total,State 1,Zone R,2022-08-27,5946
total,State 1,Zone Q,2021-10-07,4989
total,State 1,Zone R,2022-04-18,6000
total,State 3,Zone Q,2022-06-27,3631
total,State 1,Zone R,2023-01-30,8080
total,State 2,Zone P,2022-07-08,6424
total,State 2,Zone P,2021-03-16,6497
total,State 3,Zone P,2021-08-09,3503
total,State 2,Zone Q,2022-07-18,6303
total,State 1,Zone R,2022-10-10,3668
total,State 2,Zone Q,2022-01-15,13360
total,State 3,Zone R,2023-12-14,6289
total,State 2,Zone P,2020-05-29,11350
total,State 3,Zone P,2022-11-07,6322
total,State 2,Zone P,2021-05-15,8393
total,State 3,Zone Q,2021-11-18,5292
total,State 1,Zone R,2022-09-30,5573
total,State 3,Zone Q,2021-12-31,6484
total,State 2,Zone Q,2021-10-17,10921
total,State 2,Zone P,2023-03-20,6213
total,State 2,Zone Q,2022-04-19,10592
total,State 1,Zone R,2022-01-30,12635
total,State 2,Zone R,2022-03-26,13081
total,State 2,Zone P,2020-10-09,7811
total,State 1,Zone Q,2023-03-20,4147
total,State 2,Zone P,2021-12-31,11686
total,State 3,Zone P,2022-07-14,3440
total,State 2,Zone R,2022-10-12,6006
total,State 1,Zone P,2023-07-23,5137
total,State 2,Zone R,2020-04-30,9268
total,State 1,Zone Q,2023-10-15,8515
total,State 2,Zone Q,2022-02-01,10233
total,State 3,Zone Q,2023-02-24,4932
total,State 2,Zone P,2022-02-09,6744
total,State 2,Zone Q,2022-03-19,7557
total,State 2,Zone Q,2022-01-17,6968
total,State 1,Zone R,2020-10-22,5725
total,State 3,Zone R,2020-01-11,6755
total,State 1,Zone P,2023-11-03,9988
total,State 2,Zone R,2020-08-24,6552
total,State 1,Zone R,2021-04-09,5259
total,State 1,Zone Q,2023-06-14,4378
total,State 2,Zone R,2021-02-07,12652
total,State 2,Zone Q,2020-03-30,6782
total,State 2,Zone P,2022-03-05,9045
total,State 1,Zone R,2022-02-25,5499
total,State 3,Zone R,2023-10-18,5941
total,State 1,Zone Q,2020-01-07,9920
total,State 1,Zone R,2022-12-27,8576
total,State 1,Zone R,2022-07-30,4188
total,State 1,Zone R,2021-01-11,5004
total,State 1,Zone P,2023-08-18,3927
total,State 2,Zone R,2023-12-28,15175
total,State 2,Zone R,2023-03-21,8662
total,State 1,Zone R,2023-09-11,3712
total,State 3,Zone Q,2022-11-03,4555
total,State 1,Zone R,2023-10-29,9536
total,State 3,Zone P,2021-12-18,6442
total,State 2,Zone Q,2021-11-02,8601
total,State 2,Zone R,2022-11-15,12945
total,State 2,Zone Q,2021-06-25,7519
total,State 3,Zone P,2022-04-18,3209
total,State 2,Zone Q,2022-08-25,7366
total,State 2,Zone Q,2023-05-11,10617
total,State 3,Zone R,2020-07-06,3001
total,State 2,Zone R,2023-08-18,6868
total,State 1,Zone R,2022-02-06,7288
total,State 1,Zone R,2021-03-08,5226
total,State 2,Zone Q,2021-07-30,5171
total,State 2,Zone R,2020-03-09,9188
total,State 2,Zone P,2022-05-02,8272
total,State 2,Zone R,2023-11-18,11487
total,State 2,Zone R,2020-09-03,7588
total,State 2,Zone Q,2020-01-05,15039
total,State 2,Zone R,2023-12-01,9861
total,State 1,Zone R,2021-11-19,7572
total,State 2,Zone P,2020-02-09,12015
total,State 3,Zone P,2022-09-22,4731
total,State 3,Zone Q,2021-09-03,4856
total,State 3,Zone P,2022-11-15,6811
total,State 2,Zone Q,2021-05-09,12427
total,State 1,Zone R,2022-07-18,3777
total,State 2,Zone Q,2020-02-02,7903
total,State 1,Zone P,2021-05-03,4912
total,State 3,Zone Q,2022-08-16,4281
total,State 2,Zone Q,2020-12-25,11397
total,State 3,Zone Q,2023-09-15,5592
total,State 2,Zone R,2023-03-06,8155
total,State 2,Zone Q,2020-11-30,7699
total,State 3,Zone R,2022-05-28,7671
total,State 1,Zone Q,2020-08-08,5918
total,State 3,Zone Q,2020-03-27,3622
total,State 1,Zone R,2021-10-14,8060
total,State 2,Zone Q,2023-07-29,6927
total,State 1,Zone P,2023-01-26,8471
total,State 3,Zone R,2020-01-22,7109
total,State 1,Zone P,2020-09-29,6333
total,State 2,Zone R,2021-10-18,5475
total,State 1,Zone Q,2021-07-27,5722
total,State 3,Zone Q,2020-03-08,6430
total,State 2,Zone R,2022-10-15,11275
total,State 1,Zone P,2020-05-21,6089
total,State 3,Zone P,2022-11-02,8174
total,State 2,Zone R,2022-02-25,11790
total,State 1,Zone P,2021-10-05,4992
total,State 3,Zone Q,2023-02-28,5850
total,State 2,Zone R,2021-12-16,9105
total,State 3,Zone P,2020-02-21,3603
total,State 3,Zone P,2022-09-09,5958
total,State 1,Zone P,2021-06-13,4077
total,State 3,Zone Q,2022-09-25,5554
total,State 2,Zone R,2021-08-20,5643
total,State 3,Zone R,2021-04-17,4714
total,State 1,Zone R,2023-11-23,8385
total,State 2,Zone P,2021-06-27,6394
total,State 3,Zone R,2021-12-29,6652
total,State 3,Zone R,2020-07-25,4934
total,State 2,Zone P,2021-03-29,8892
total,State 2,Zone P,2020-06-23,8106
total,State 1,Zone Q,2020-04-24,6340
total,State 1,Zone R,2020-10-23,4943
total,State 2,Zone R,2023-07-08,7073
total,State 2,Zone R,2021-07-25,6461
total,State 3,Zone P,2022-11-30,4702
total,State 2,Zone Q,2022-02-17,6509
total,State 1,Zone Q,2023-01-02,6262
total,State 2,Zone Q,2022-04-10,7814
total,State 1,Zone P,2022-05-06,4471
total,State 1,Zone Q,2020-01-13,7252
total,State 3,Zone Q,2021-02-22,3819
total,State 1,Zone Q,2021-08-09,4042
total,State 3,Zone P,2021-11-28,7867
total,State 3,Zone Q,2022-09-06,4703
total,State 2,Zone Q,2020-11-16,8126
total,State 3,Zone R,2022-04-08,3731
total,State 2,Zone Q,2022-07-02,6090
total,State 1,Zone Q,2023-05-15,4301
total,State 3,Zone R,2023-05-30,4911
total,State 3,Zone R,2021-04-19,4722
total,State 3,Zone P,2020-02-06,4229
total,State 1,Zone Q,2022-03-12,6799
total,State 2,Zone Q,2022-02-24,10298
total,State 3,Zone Q,2020-04-24,4682
total,State 1,Zone R,2021-09-22,6685
total,State 2,Zone Q,2021-11-03,13656
total,State 1,Zone R,2021-01-21,10487
total,State 3,Zone Q,2021-09-29,5041
total,State 3,Zone Q,2021-07-25,5102
total,State 2,Zone R,2023-04-15,7208
total,State 2,Zone R,2022-08-05,5841
total,State 1,Zone Q,2022-11-11,6356
total,State 2,Zone Q,2021-07-10,8628
total,State 2,Zone R,2023-05-08,8929
total,State 2,Zone R,2021-08-17,7850
total,State 3,Zone P,2021-02-03,5748
total,State 1,Zone R,2022-11-14,6409
total,State 3,Zone R,2023-09-16,5995
total,State 1,Zone Q,2021-02-19,7975
total,State 1,Zone Q,2022-02-06,9024
total,State 1,Zone R,2022-08-10,3175
total,State 3,Zone R,2022-03-08,4774
total,State 2,Zone R,2021-11-09,11488
total,State 3,Zone R,2020-07-05,4309
total,State 3,Zone P,2021-04-22,5550
total,State 3,Zone Q,2022-04-08,4608
total,State 1,Zone P,2023-07-26,3817
total,State 2,Zone Q,2020-10-22,7024
total,State 1,Zone R,2022-07-27,4636
total,State 2,Zone R,2023-06-16,5146
total,State 1,Zone R,2023-08-21,2955
total,State 2,Zone P,2020-01-19,15681
total,State 3,Zone Q,2022-03-27,5639
total,State 3,Zone Q,2023-08-26,4570
total,State 1,Zone R,2022-11-06,12279
total,State 1,Zone R,2021-08-07,5309
total,State 2,Zone R,2021-10-09,7698
total,State 2,Zone Q,2021-02-04,7713
total,State 2,Zone Q,2023-10-12,6442
total,State 3,Zone R,2020-02-27,5664
total,State 2,Zone Q,2022-03-01,8510
total,State 2,Zone P,2020-10-11,13820
total,State 2,Zone P,2023-07-20,7525
total,State 3,Zone R,2023-08-28,2590
total,State 3,Zone R,2021-02-10,6440
total,State 1,Zone P,2021-10-19,6260
total,State 1,Zone P,2020-05-31,5832
total,State 1,Zone P,2021-08-30,3881
total,State 3,Zone P,2021-12-08,6172
total,State 3,Zone P,2021-08-04,3924
total,State 2,Zone Q,2022-08-02,7986
total,State 2,Zone Q,2020-03-01,9026
total,State 1,Zone Q,2020-09-10,5281
total,State 1,Zone Q,2022-04-06,6024
total,State 3,Zone P,2020-09-19,6092
total,State 1,Zone P,2022-08-23,3776
total,State 1,Zone R,2020-10-31,7469
total,State 3,Zone R,2021-07-18,4745
total,State 3,Zone R,2022-07-05,4702
total,State 1,Zone Q,2023-12-10,9446
total,State 1,Zone Q,2021-09-05,9409
total,State 3,Zone P,2023-01-23,3599
total,State 1,Zone P,2022-08-19,4539
total,State 2,Zone P,2022-02-12,9766
total,State 1,Zone P,2021-05-11,6433
total,State 3,Zone R,2021-05-25,3492
total,State 1,Zone Q,2023-01-30,6010
total,State 2,Zone Q,2023-07-15,9256
total,State 3,Zone R,2021-07-06,3612
total,State 2,Zone Q,2023-09-09,9099
total,State 1,Zone R,2020-06-14,4296
total,State 2,Zone Q,2022-10-16,12024
total,State 1,Zone Q,2023-02-01,7364
total,State 2,Zone P,2020-04-25,13238
total,State 1,Zone R,2023-10-22,6590
total,State 2,Zone R,2023-12-13,12685
total,State 3,Zone R,2021-11-19,6854
total,State 2,Zone R,2021-10-14,6922
total,State 2,Zone Q,2020-09-22,9600
total,State 1,Zone P,2022-11-29,7664
total,State 3,Zone P,2023-02-10,6107
total,State 3,Zone Q,2023-10-11,3654
total,State 2,Zone R,2022-05-09,5217
total,State 1,Zone Q,2020-11-21,10046
total,State 3,Zone P,2020-10-27,5998
total,State 2,Zone P,2021-10-23,7255
total,State 3,Zone P,2020-10-18,7057
total,State 2,Zone P,2022-02-08,8083
total,State 3,Zone R,2020-12-12,10096
total,State 2,Zone P,2020-05-19,7927
total,State 3,Zone R,2021-11-23,7132
total,State 2,Zone P,2022-04-03,12769
total,State 2,Zone Q,2021-07-26,3454
total,State 3,Zone Q,2023-11-17,7419
total,State 1,Zone R,2022-03-27,5327
total,State 2,Zone Q,2021-01-17,10899
total,State 2,Zone R,2022-02-02,9572
total,State 2,Zone R,2022-09-11,8509
total,State 2,Zone Q,2020-08-31,4365
total,State 2,Zone Q,2020-05-09,9848
total,State 1,Zone P,2020-09-30,5010
total,State 2,Zone R,2021-09-01,11055
total,State 2,Zone P,2023-08-03,5937
total,State 1,Zone R,2021-10-16,9277
total,State 2,Zone P,2021-01-01,8881
total,State 3,Zone P,2022-02-06,4250
total,State 1,Zone P,2023-03-01,7018
total,State 1,Zone P,2021-04-07,6465
total,State 2,Zone P,2022-01-23,12310
total,State 1,Zone R,2023-04-28,6673
total,State 1,Zone P,2022-03-31,8180
total,State 3,Zone P,2022-06-17,2643
total,State 3,Zone P,2021-11-06,8741
total,State 2,Zone Q,2021-07-01,5353
total,State 1,Zone Q,2021-05-28,7944
total,State 1,Zone R,2020-09-01,6144
total,State 1,Zone R,2021-10-28,7162
total,State 2,Zone R,2020-02-01,8871
total,State 2,Zone P,2022-01-18,8128
total,State 1,Zone P,2022-01-09,8722
total,State 2,Zone R,2021-04-27,9399
total,State 2,Zone Q,2022-08-31,6278
total,State 3,Zone Q,2023-05-26,4140
total,State 3,Zone Q,2020-09-04,5614
total,State 3,Zone P,2020-05-05,4812
total,State 3,Zone Q,2021-01-08,6156
total,State 3,Zone R,2023-05-16,3444
total,State 1,Zone R,2023-12-11,8217
total,State 2,Zone R,2020-09-07,9239
total,State 1,Zone Q,2023-08-11,3576
total,State 1,Zone R,2021-12-30,6787
total,State 3,Zone P,2021-12-12,6016
total,State 2,Zone P,2021-10-21,8337
total,State 3,Zone R,2021-02-09,4784
total,State 1,Zone P,2022-03-20,5259
total,State 2,Zone P,2020-12-08,8853
total,State 1,Zone Q,2022-06-17,3638
total,State 3,Zone Q,2020-01-26,9329
total,State 2,Zone Q,2021-01-11,11522
total,State 1,Zone R,2022-11-12,7750
total,State 1,Zone Q,2022-07-05,4736
total,State 1,Zone R,2021-12-05,10071
total,State 1,Zone P,2022-02-16,6238
total,State 3,Zone Q,2022-07-26,2715
total,State 3,Zone R,2023-02-14,6215
total,State 3,Zone P,2021-05-03,4253
total,State 2,Zone Q,2023-04-24,8588
total,State 2,Zone R,2021-01-30,17399
total,State 3,Zone P,2021-10-24,4150
total,State 2,Zone P,2023-07-18,7060
total,State 2,Zone P,2021-01-07,8473
total,State 1,Zone Q,2021-08-11,5718
total,State 3,Zone R,2022-05-04,3686
total,State 3,Zone R,2020-12-17,5288
total,State 1,Zone Q,2021-06-22,4445
total,State 2,Zone R,2022-08-19,6984
total,State 2,Zone Q,2022-12-02,12095
total,State 1,Zone R,2023-06-16,5416
total,State 1,Zone Q,2020-11-02,6403
total,State 3,Zone R,2023-09-15,4934
total,State 3,Zone Q,2020-10-19,3274
total,State 3,Zone P,2023-05-28,7551
total,State 2,Zone Q,2023-11-03,12959
total,State 2,Zone Q,2020-04-01,9155
total,State 1,Zone P,2020-11-11,10019
total,State 2,Zone R,2021-12-03,11221
total,State 2,Zone Q,2023-04-27,11524
total,State 2,Zone R,2021-09-02,6682
total,State 2,Zone P,2022-09-26,6842
total,State 2,Zone R,2022-08-16,4330
total,State 2,Zone P,2020-03-04,9104
total,State 1,Zone P,2022-07-02,3951
total,State 2,Zone R,2020-10-18,13074
total,State 2,Zone P,2021-10-11,5021
total,State 2,Zone Q,2022-08-10,5625
total,State 3,Zone R,2020-08-12,3588
total,State 1,Zone R,2023-02-28,7567
total,State 2,Zone Q,2022-10-15,9527
total,State 3,Zone R,2022-10-07,5982
total,State 1,Zone P,2020-01-17,7951
total,State 1,Zone P,2020-04-22,5517
total,State 1,Zone R,2021-05-21,5513
total,State 1,Zone R,2023-04-14,4234
total,State 2,Zone Q,2023-01-15,12124
total,State 3,Zone R,2023-10-14,5262
total,State 1,Zone P,2020-08-29,6756
total,State 1,Zone Q,2022-10-22,7333
total,State 2,Zone Q,2022-05-24,6765
total,State 2,Zone Q,2023-08-24,6928
total,State 2,Zone P,2021-02-24,8583
total,State 1,Zone R,2021-06-24,3042
total,State 2,Zone P,2021-11-19,13582
total,State 1,Zone R,2022-09-29,5593
total,State 1,Zone R,2022-09-27,4294
total,State 3,Zone R,2020-06-20,5250
total,State 1,Zone Q,2020-09-19,6787
total,State 1,Zone R,2023-05-24,6412
total,State 1,Zone P,2022-12-27,7083
total,State 3,Zone Q,2023-01-15,8768
total,State 1,Zone R,2023-02-25,8777
total,State 3,Zone R,2022-01-12,7546
total,State 3,Zone P,2023-02-03,5227
total,State 3,Zone P,2020-12-21,6228
total,State 3,Zone P,2020-05-28,3584
total,State 2,Zone P,2023-07-22,8744
total,State 2,Zone P,2020-08-15,9380
total,State 2,Zone R,2022-09-20,6637
total,State 1,Zone Q,2023-12-08,8459
total,State 1,Zone Q,2022-12-08,9696
total,State 3,Zone Q,2021-01-04,6300
total,State 1,Zone Q,2020-08-02,5333
total,State 3,Zone Q,2021-04-15,3879
total,State 2,Zone Q,2022-11-29,15112
total,State 2,Zone Q,2021-04-09,11456
total,State 1,Zone Q,2020-04-17,6045
total,State 3,Zone Q,2022-07-04,1989
total,State 2,Zone P,2022-09-05,8786
total,State 3,Zone Q,2023-11-02,5323
total,State 3,Zone R,2022-02-18,3685
total,State 3,Zone R,2020-08-25,3835
total,State 1,Zone R,2021-04-04,9041
total,State 2,Zone R,2020-09-18,6350
total,State 2,Zone R,2023-05-26,11521
total,State 3,Zone P,2023-11-01,4884
total,State 3,Zone Q,2023-01-11,7155
total,State 3,Zone P,2022-06-01,3930
total,State 2,Zone R,2023-02-13,7932
total,State 3,Zone Q,2023-11-12,8675
total,State 3,Zone Q,2022-03-05,6044
total,State 3,Zone R,2021-09-04,7170
total,State 2,Zone R,2022-09-25,9183
total,State 2,Zone P,2020-04-12,13124
total,State 2,Zone Q,2021-04-14,6565
total,State 3,Zone Q,2022-07-15,3165
total,State 3,Zone P,2021-08-11,3063
total,State 3,Zone Q,2020-09-17,3939
total,State 1,Zone P,2021-10-06,6075
total,State 2,Zone P,2020-12-15,11743
total,State 3,Zone R,2022-05-07,7284
total,State 2,Zone R,2020-02-07,11507
total,State 1,Zone Q,2020-01-12,10799
total,State 2,Zone R,2023-12-15,14317
total,State 3,Zone R,2022-03-21,2803
total,State 1,Zone R,2021-12-15,8384
total,State 3,Zone Q,2023-11-19,7489
total,State 3,Zone Q,2022-05-04,3950
total,State 1,Zone R,2020-04-20,4885
total,State 1,Zone P,2021-11-15,5178
total,State 3,Zone Q,2020-06-19,4251
total,State 2,Zone P,2020-06-29,4396
total,State 1,Zone R,2020-07-15,4227
total,State 2,Zone P,2020-09-04,7579
total,State 3,Zone R,2023-11-12,5604
total,State 2,Zone Q,2021-11-28,11338
total,State 2,Zone P,2023-09-15,11084
total,State 3,Zone R,2020-10-31,6727
total,State 2,Zone P,2021-09-29,6732
total,State 3,Zone R,2021-12-06,5280
total,State 3,Zone Q,2021-08-04,4049
total,State 1,Zone R,2020-03-29,7981
total,State 2,Zone R,2022-06-10,5693
total,State 2,Zone P,2020-05-24,11453
total,State 3,Zone Q,2023-05-16,4147
total,State 1,Zone P,2021-01-16,11697
total,State 1,Zone P,2021-03-09,4669
total,State 1,Zone P,2020-06-11,3780
total,State 1,Zone P,2022-06-28,3007
total,State 2,Zone P,2021-05-02,10512
total,State 1,Zone R,2022-07-09,4533
total,State 2,Zone R,2020-05-13,11258
total,State 2,Zone Q,2022-09-01,6449
total,State 3,Zone Q,2020-09-11,3804
total,State 2,Zone R,2021-10-11,5547
total,State 1,Zone Q,2022-12-19,5782
total,State 1,Zone P,2021-11-10,7304
total,State 1,Zone P,2023-02-05,8114
total,State 2,Zone Q,2022-12-17,15200
total,State 3,Zone P,2020-07-13,2357
total,State 2,Zone Q,2020-10-15,6507
total,State 2,Zone R,2023-11-14,9727
total,State 2,Zone P,2021-01-28,11560
total,State 3,Zone P,2022-04-09,6017
total,State 1,Zone Q,2022-08-14,4482
total,State 1,Zone Q,2021-05-03,3463
total,State 1,Zone P,2020-04-24,6889
total,State 1,Zone R,2020-10-28,6190
total,State 1,Zone Q,2023-09-15,4978
total,State 1,Zone Q,2023-06-03,5081
total,State 2,Zone Q,2022-07-09,5898
total,State 3,Zone P,2020-09-28,3424
total,State 2,Zone Q,2021-07-25,9658
total,State 2,Zone Q,2023-08-09,5571
total,State 3,Zone P,2022-05-02,4122
total,State 1,Zone Q,2023-04-23,8133
total,State 2,Zone R,2022-06-22,6858
total,State 2,Zone P,2023-09-03,10372
total,State 1,Zone Q,2023-02-03,6810
total,State 1,Zone P,2020-02-09,7854
total,State 2,Zone P,2021-11-05,11001
total,State 2,Zone Q,2020-05-26,7897
total,State 1,Zone P,2023-05-02,7405
total,State 2,Zone P,2020-04-22,8556
total,State 3,Zone R,2021-06-26,3557
total,State 1,Zone R,2023-05-18,4381
total,State 2,Zone Q,2020-03-07,10949
total,State 1,Zone R,2023-03-09,6150
total,State 3,Zone R,2020-07-13,2934
total,State 1,Zone P,2022-01-14,5501
total,State 3,Zone Q,2023-12-24,8976
total,State 1,Zone P,2023-03-07,8104
total,State 3,Zone R,2021-07-25,4813
total,State 3,Zone R,2023-10-26,3619
total,State 1,Zone Q,2021-11-04,6489
total,State 3,Zone P,2021-06-06,4508
total,State 1,Zone P,2021-01-20,10384
total,State 3,Zone R,2021-05-22,6226
total,State 2,Zone Q,2021-04-17,7668
total,State 3,Zone R,2022-07-17,4756
total,State 3,Zone R,2020-08-18,3383
total,State 3,Zone R,2022-04-15,5446
total,State 1,Zone P,2020-08-26,5228
total,State 1,Zone P,2021-04-05,4243
total,State 1,Zone Q,2020-04-14,7847
total,State 1,Zone P,2020-03-12,8086
total,State 3,Zone Q,2023-09-24,7284
total,State 3,Zone Q,2022-02-25,5307
total,State 1,Zone R,2020-10-09,5712
total,State 1,Zone R,2020-04-21,7628
total,State 2,Zone R,2021-01-17,14749
total,State 2,Zone Q,2020-12-06,9217
total,State 1,Zone P,2023-08-30,5727
total,State 2,Zone Q,2020-06-22,3544
total,State 3,Zone P,2023-01-08,8445
total,State 1,Zone P,2021-11-19,7762
total,State 1,Zone Q,2022-04-18,5804
total,State 1,Zone R,2022-03-31,7289
total,State 3,Zone R,2020-02-16,6999
total,State 2,Zone R,2022-02-12,9901
total,State 2,Zone Q,2023-12-27,10088
total,State 2,Zone Q,2020-03-31,8213
total,State 1,Zone P,2020-11-08,11221
total,State 2,Zone R,2020-05-16,10663
total,State 1,Zone Q,2021-09-13,3772
total,State 3,Zone P,2020-11-11,7953
total,State 1,Zone P,2020-11-02,4349
total,State 2,Zone Q,2021-10-12,6054
total,State 3,Zone R,2020-09-11,3604
total,State 1,Zone P,2023-10-27,7378
total,State 2,Zone Q,2023-10-10,9177
total,State 2,Zone P,2021-08-12,4362
total,State 1,Zone R,2020-07-03,3200
total,State 1,Zone Q,2020-01-29,6338
total,State 1,Zone P,2022-01-10,7578
total,State 3,Zone P,2020-06-16,4610
total,State 1,Zone R,2022-02-27,5380
total,State 3,Zone P,2023-09-25,5367
total,State 2,Zone P,2023-08-09,8090
total,State 2,Zone R,2023-10-18,10862
total,State 2,Zone R,2022-05-05,8119
total,State 3,Zone P,2021-07-01,4644
total,State 1,Zone Q,2022-01-16,12098
total,State 3,Zone Q,2021-07-02,3750
total,State 3,Zone P,2023-09-28,4782
total,State 3,Zone P,2021-11-13,8098
total,State 2,Zone R,2021-05-13,9276
total,State 1,Zone R,2023-11-20,7458
total,State 1,Zone P,2023-03-09,4671
total,State 1,Zone R,2020-09-05,6559
total,State 1,Zone P,2020-03-11,4312
total,State 1,Zone Q,2020-02-08,6574
total,State 3,Zone R,2021-08-09,3676
total,State 1,Zone R,2021-12-10,7819
total,State 2,Zone Q,2021-12-06,12199
total,State 3,Zone Q,2023-09-17,6018
total,State 3,Zone P,2020-05-30,7239
total,State 1,Zone Q,2020-10-07,6856
total,State 1,Zone Q,2020-05-29,6968
total,State 1,Zone R,2020-11-06,8914
total,State 1,Zone R,2023-08-14,4136
total,State 2,Zone Q,2020-05-06,8486
total,State 3,Zone Q,2022-07-05,4549
total,State 1,Zone R,2023-07-06,4946
total,State 2,Zone R,2021-12-26,9831
total,State 2,Zone Q,2021-01-30,16518
total,State 3,Zone P,2023-10-15,6519
total,State 3,Zone Q,2020-06-28,5184
total,State 2,Zone R,2023-09-05,8829
total,State 3,Zone R,2021-09-15,6330
total,State 3,Zone R,2022-03-13,5837
total,State 2,Zone R,2021-06-03,4252
total,State 2,Zone R,2020-10-27,8920
total,State 2,Zone Q,2023-12-18,9153
total,State 2,Zone Q,2022-04-25,8534
total,State 1,Zone R,2021-02-10,4663
total,State 1,Zone P,2023-08-13,4379
total,State 1,Zone Q,2020-08-18,3049
total,State 2,Zone R,2023-08-23,7351
total,State 3,Zone Q,2023-05-01,2818
total,State 2,Zone Q,2023-09-15,7036
total,State 2,Zone R,2021-01-01,13718
total,State 2,Zone P,2022-02-01,11124
total,State 2,Zone R,2021-04-04,8337
total,State 2,Zone R,2022-09-01,9891
total,State 3,Zone Q,2021-07-07,2797
total,State 1,Zone P,2022-05-05,7933
total,State 3,Zone P,2022-06-15,3045
total,State 2,Zone P,2022-04-08,9755
total,State 1,Zone Q,2022-09-29,6351
total,State 1,Zone P,2020-05-10,9602
total,State 3,Zone Q,2022-07-19,3809
total,State 3,Zone Q,2023-08-23,3383
total,State 3,Zone P,2022-05-23,5066
total,State 3,Zone Q,2021-12-08,5372
total,State 2,Zone P,2021-02-15,5313
total,State 1,Zone P,2021-10-11,5551
total,State 2,Zone P,2023-04-26,8875
